filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
0 5.167786e+01 1.814173e+00 12 5.685507e-01 -8.432749e-01 -2.573193e+00 9.125191e+01 sw00287344000b_bgd.pha 4176.88 7771.87 7267.22 6886.62 46.628525 1.086097e-07 229185_GRB060912A 24387 1
1 5.175598e+01 6.008090e+00 07 2.283076e-01 -6.986872e-01 -1.998830e+00 4.009181e+01 sw00159913000b_bgd.pha 3640.66 6700.1 6011.92 5131.65 56.990242 5.937438e-09 240766_GRB061126 24387 0
2 5.208252e+01 4.351151e+00 18 2.990011e-01 -5.942677e-01 -2.270514e+00 7.646754e+01 sw00506903000b_bgd.pha 4927.5 7950.58 5782.67 4438.11 26.557574 3.073542e-08 373172_GRB091018 24387 1
3 5.152222e+01 5.349586e+00 30 2.519849e-01 -1.277314e+00 -2.574063e+00 3.380863e+01 sw00156467000b_bgd.pha 4038.16 7385.42 6482.34 5256.99 40.675039 5.196274e-09 152113_GRB050826 24387 0
4 5.199280e+01 5.447233e+00 24 2.481685e-01 -1.045660e+00 -2.741239e+00 5.723875e+01 sw00304549000b_bgd.pha 3551.2 6544.8 5915.2 5472 19.267549 1.758196e-08 370791_GRB090926B 24387 1
5 5.107300e+01 2.530044e+00 23 4.532521e-01 -7.992917e-01 -3.107473e+00 3.625630e+01 sw00302728000b_bgd.pha 3705.07 6813.49 6113.39 5150.59 31.393231 1.437518e-08 332931_GRB081029 24387 0
6 5.087952e+01 7.206700e+00 22 1.949626e-01 -7.653598e-01 -2.271007e+00 1.248114e+01 sw00241840000b_bgd.pha 3979.89 7189.12 6262.86 5443.84 46.628525 4.815643e-10 335105_GRB081121 24387 0
7 5.234131e+01 3.432664e+00 17 3.609568e-01 -3.990003e-01 -3.033194e+00 1.243524e+02 sw00130679000b_bgd.pha 4254.51 7835.6 7171.34 6395.41 0.075701 1.117022e-07 297114_GRB071122 24387 1
8 5.173096e+01 3.095783e+00 10 3.906457e-01 -8.166641e-01 -2.962104e+00 6.665092e+01 sw00307931000b_bgd.pha 4609.88 8536.62 7947.66 7645.57 19.267549 4.045793e-08 305288_GRB080310 24387 1
9 5.192261e+01 3.032313e+00 17 3.967946e-01 -1.205424e+00 -2.793269e+00 8.441392e+01 sw00210084000b_bgd.pha 4016.8 7414.1 6660.34 5681.92 0.075701 5.573813e-08 147478_GRB050724 24387 1
10 5.240479e+01 6.252206e+00 09 2.206225e-01 -1.422979e+00 -2.580710e+00 8.176869e+01 sw00443861000b_bgd.pha 4088.53 7568.21 7090.42 6649.84 31.393231 2.707673e-08 177408_GRB060115 24387 0
11 4.961914e+01 3.029262e+00 23 3.970951e-01 -9.388211e-01 -2.029276e+00 5.956751e+00 sw00509717000b_bgd.pha 2872.1 5330.51 4948.45 4823.92 31.393231 1.567644e-10 209755_GRB060512 24387 0
12 5.185547e+01 1.755585e+00 23 5.806389e-01 -1.358331e+00 -2.576044e+00 1.143366e+02 sw00279494000b_bgd.pha 6044.32 10115.3 7991.89 6776.74 31.393231 1.521257e-07 231231_GRB060926 24387 1
13 5.171753e+01 5.666327e+00 16 2.400122e-01 -1.204619e+00 -1.607350e+00 4.032205e+01 sw00509717000b_bgd.pha 2872.1 5330.51 4948.45 4823.92 26.557574 3.760026e-09 280706_GRB070529 24387 0
14 4.839355e+01 5.242785e+00 03 2.562959e-01 -5.747244e-01 -2.124927e+00 9.376991e-01 sw00230711000b_bgd.pha 3641.89 6798.37 6447.51 6284.65 35.017749 1.945337e-12 309010_GRB080411 24387 0
15 5.142822e+01 3.315488e+00 31 3.707576e-01 -1.111525e+00 -2.200381e+00 4.464224e+01 sw00302506000b_bgd.pha 3469.09 6404.02 5775.33 4936.35 35.017749 1.180629e-08 252588_GRB061222A 24387 0
16 4.889893e+01 3.120195e+00 14 3.883311e-01 -8.396562e-01 -2.279461e+00 2.542200e+00 sw00173780000b_bgd.pha 34214.3 62391.1 54578.7 44857.1 56.291844 2.139815e-11 111622_GRB050319 24387 0
17 5.081787e+01 6.092920e+00 19 2.255771e-01 -1.155128e+00 -2.216159e+00 1.345163e+01 sw00278903000b_bgd.pha 4433.84 7920.37 6907.42 6241.01 44.994283 5.734278e-10 305288_GRB080310 24387 0
