filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
0 5.217712e+01 7.003929e-01 27 9.409590e-01 -9.311619e-01 -2.571987e+00 2.683350e+02 sw00213486000b_bgd.pha 4370.32 7718.19 6665.47 5871.25 56.990242 2.057423e-06 324561_GRB080913 26478 1
1 5.185974e+01 2.754631e+00 03 4.261404e-01 -6.173480e-01 -2.143050e+00 8.432725e+01 sw00207399000b_bgd.pha 4272.54 7968.48 7335.33 6667.73 35.017749 4.660390e-08 349450_GRB090417B 26478 0
2 5.019348e+01 6.755696e+00 33 2.063000e-01 -1.131965e+00 -2.778262e+00 5.994936e+00 sw00505054000b_bgd.pha 10228.4 18971.8 17644.5 17078.1 50.662786 5.846634e-11 148225_GRB050730 26478 0
3 5.217712e+01 7.003929e-01 27 9.409590e-01 -9.311619e-01 -2.571987e+00 2.683350e+02 sw00213486000b_bgd.pha 4370.32 7718.19 6665.47 5871.25 56.990242 2.057423e-06 324561_GRB080913 26478 1
4 5.136353e+01 8.961286e+00 25 1.606218e-01 -7.482059e-01 -2.361323e+00 1.795196e+01 sw00361830000b_bgd.pha 3657.54 6813.15 6550.46 6750.62 31.393231 1.037486e-09 330856_GRB081007 26478 0
5 5.144043e+01 1.467528e+00 27 6.484222e-01 -1.352402e+00 -3.121322e+00 7.918033e+01 sw00181156000b_bgd.pha 3967.15 7289.78 6530.3 5682.08 56.990242 1.095897e-07 209352_GRB060510B 26478 0
6 5.001099e+01 7.407486e+00 20 1.903066e-01 -8.918471e-01 -2.578708e+00 4.482204e+00 sw00423184000b_bgd.pha 3261.82 5995.94 5496.64 5188.7 56.291844 3.207029e-11 234905_GRB061021 26478 0
7 5.043823e+01 3.200753e+00 20 3.808841e-01 -8.297409e-01 -2.809237e+00 1.467079e+01 sw00432420000b_bgd.pha 3608.59 6683.95 6227.49 5780.21 56.291844 1.231273e-09 213823_GRB060607A 26478 0
8 4.988403e+01 2.514176e+00 32 4.552987e-01 -1.010567e+00 -2.627645e+00 9.265260e+00 sw00332931000b_bgd.pha 3896.03 7232.02 6687.35 5983.29 40.675039 4.579677e-10 180977_GRB060210 26478 0
9 5.083984e+01 9.469047e+00 33 1.528315e-01 -9.509176e-01 -2.248605e+00 9.347152e+00 sw00279935000b_bgd.pha 4040.93 7515.25 7110.53 6720.21 50.662786 2.100005e-10 326115_GRB080928 26478 0
10 5.186401e+01 2.785145e+00 05 4.227050e-01 -9.552881e-01 -2.377589e+00 8.405990e+01 sw00312958000b_bgd.pha 3946.35 7380.77 7207.52 7427.3 50.662786 5.383522e-08 213630_GRB060605 26478 0
11 5.211060e+01 2.116877e+00 29 5.133343e-01 -4.808733e-01 -2.336761e+00 1.355947e+02 sw00156467000b_bgd.pha 4038.16 7385.42 6482.34 5256.99 50.662786 1.505290e-07 324895_GRB080916A 26478 0
12 5.079712e+01 9.501393e+00 11 1.523607e-01 -7.931035e-01 -2.673146e+00 8.871095e+00 sw00200638000b_bgd.pha 3519.92 6560.46 6151.23 5606.11 31.393231 1.613167e-10 305288_GRB080310 26478 0
13 4.939514e+01 6.695277e+00 20 2.079197e-01 -2.533451e-01 -2.272990e+00 2.409967e+00 sw00231974000b_bgd.pha 3781.97 6956.96 6309.25 5578.62 56.291844 1.166073e-11 306778_GRB080319C 26478 0
14 5.207703e+01 2.728388e+00 31 4.291398e-01 -1.362060e+00 -2.426857e+00 1.090578e+02 sw00332851000b_bgd.pha 4249.46 7821.25 7181.54 6439.14 35.017749 8.337329e-08 287364_GRB070810A 26478 0
15 5.204407e+01 9.622840e+00 30 1.506188e-01 -5.877432e-01 -2.458289e+00 3.685171e+01 sw00261880000b_bgd.pha 3565.68 6619.92 6079.47 5623.49 40.675039 5.355869e-09 111529_GRB050318 26478 0
16 5.239441e+01 2.899880e+00 22 4.102690e-01 -4.392508e-01 -2.382562e+00 1.502512e+02 sw00203755000b_bgd.pha 3814.51 6786.8 5740.61 4749.31 46.628525 1.325453e-07 285654_GRB070721B 26478 1
17 5.186462e+01 6.265478e-01 25 9.836784e-01 -1.136979e+00 -2.347418e+00 1.957536e+02 sw00292934000b_bgd.pha 5810.4 9920.78 8302.64 7895.07 31.393231 1.492970e-06 153514_GRB050904 26478 1
18 5.160095e+01 2.013738e+00 05 5.309021e-01 -1.108321e+00 -2.411482e+00 7.798932e+01 sw00420247000b_bgd.pha 16824.2 30504.1 29562.5 34162.7 50.662786 6.458516e-08 208654_GRB060505 26478 0
19 5.207031e+01 5.742613e+00 10 2.372967e-01 -1.294965e+00 -2.315161e+00 5.984014e+01 sw00349447000b_bgd.pha 3665.82 6757.55 6101.47 5194.74 19.267549 1.492435e-08 209755_GRB060512 26478 0
