filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
0 5.239502e+01 6.600071e+00 05 2.105243e-01 -1.373442e+00 -2.232825e+00 7.715368e+01 sw00173780000b_bgd.pha 34214.3 62391.1 54578.7 44857.1 50.662786 2.153052e-08 113120_GRB050401 29413 0
1 5.043945e+01 7.307398e+00 21 1.925994e-01 -1.165416e+00 -2.419598e+00 7.428927e+00 sw00313116000b_bgd.pha 4230.19 7473.6 6502.72 5733.12 56.990242 1.226383e-10 297114_GRB071122 29413 0
2 4.862061e+01 5.279403e+00 09 2.548013e-01 -7.692065e-01 -2.437455e+00 1.210735e+00 sw00359711000b_bgd.pha 3442.18 6258.42 5650.5 5340.5 31.393231 1.952413e-12 309096_GRB080413A 29413 0
3 5.102417e+01 6.032501e+00 33 2.275151e-01 -5.494865e-01 -1.847418e+00 1.720441e+01 sw00422783000b_bgd.pha 4606.46 8222.8 7425.15 7953.82 50.662786 8.971630e-10 148522_GRB050801 29413 0
4 5.071838e+01 1.555410e+00 31 6.261226e-01 -1.419503e+00 -1.991792e+00 3.329629e+01 sw00317508000b_bgd.pha 4530.38 7734.16 6419.01 5856.27 35.017749 1.053454e-08 359530_GRB090809A 29413 0
5 5.201355e+01 2.617315e+00 27 4.423170e-01 -1.112937e+00 -2.331217e+00 1.044848e+02 sw00316204000b_bgd.pha 3881.14 7347.58 7357.46 8175.79 56.990242 8.055660e-08 180455_GRB060206 29413 0
6 5.196777e+01 2.349398e+00 01 4.776978e-01 -1.120673e+00 -2.490889e+00 1.070495e+02 sw00226382000b_bgd.pha 3998.1 7482.1 7183.07 7239.47 50.694 1.007896e-07 156467_GRB050922C 29413 0
7 4.936646e+01 2.096738e+00 31 5.166728e-01 -3.981636e-01 -2.499738e+00 5.794123e+00 sw00261664000b_bgd.pha 4054.85 7703.79 7803.65 9177.46 35.017749 1.956873e-10 284856_GRB070714B 29413 0
8 5.202026e+01 2.180347e+00 27 5.030897e-01 -1.523198e+00 -2.483763e+00 1.197628e+02 sw00420398000b_bgd.pha 3831.52 6879.9 6137.6 5504.21 56.990242 1.185272e-07 297114_GRB071122 29413 0
9 5.138245e+01 6.725791e+00 05 2.070985e-01 -1.015284e+00 -2.811692e+00 2.365619e+01 sw00424031000b_bgd.pha 4042.06 7100.51 6134.19 5873.46 50.662786 2.284393e-09 357512_GRB090715B 29413 0
10 5.172241e+01 3.587067e+00 30 3.488068e-01 -6.713024e-01 -2.680601e+00 5.892988e+01 sw00505801000b_bgd.pha 4693.74 7813.81 6074.4 5218.08 40.675039 2.663674e-08 259714_GRB070208 29413 0
11 4.980713e+01 9.074800e+00 19 1.588121e-01 -1.323703e+00 -2.014472e+00 2.957962e+00 sw00337073000b_bgd.pha 4173.29 7901.14 8017.78 9321.75 44.994283 1.753836e-11 148522_GRB050801 29413 0
