filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
26 5.179871e+01 2.292031e+00 01 4.860222e-01 -3.218897e-01 -3.395314e+00 8.965071e+01 sw00299787000b_bgd.pha 3466.4 6338.24 5717.76 4911.2 50.694 1.066038e-07 352648_GRB090519 26997 0
27 5.132019e+01 7.425795e+00 12 1.898931e-01 -8.336080e-01 -2.249101e+00 2.019059e+01 sw00337115000b_bgd.pha 3679.62 6857.17 6437.63 6423.39 46.628525 1.417099e-09 358422_GRB090726 26997 0
28 5.065430e+01 3.860477e+00 03 3.291858e-01 -1.146862e+00 -2.468098e+00 1.626051e+01 sw00219646000b_bgd.pha 3923.81 7274.96 6694.7 6196.51 35.017749 1.254552e-09 152113_GRB050826 26997 0
29 4.957214e+01 4.429878e+00 04 2.946659e-01 -7.721303e-01 -2.246728e+00 4.187417e+00 sw00336489000b_bgd.pha 3618.59 6705.71 6104.61 5366.35 40.675039 5.209276e-11 111063_GRB050315 26997 0
30 5.186523e+01 4.446966e+00 26 2.937415e-01 -9.179922e-01 -1.891730e+00 5.849612e+01 sw00230662000b_bgd.pha 4651.22 8294.02 6961.34 5433.33 46.628525 1.288060e-08 374210_GRB091029 26997 0
31 4.974976e+01 3.829352e+00 01 3.313074e-01 -8.707666e-01 -2.240952e+00 5.776351e+00 sw00319016000b_bgd.pha 3503.74 6457.97 5871.65 5154.1 50.694 1.195987e-10 310613_GRB080430 26997 0
32 4.930054e+01 4.501893e+00 04 2.908090e-01 -6.696503e-01 -2.869615e+00 3.022881e+00 sw00206773000b_bgd.pha 3920.29 7227.73 6483.94 5397.79 40.675039 1.079126e-11 228316_GRB060906 26997 0
33 5.104492e+01 3.213569e+00 08 3.797256e-01 -6.688750e-01 -2.375619e+00 2.940867e+01 sw00306757000b_bgd.pha 8479.7 18377.4 22443.2 21557.6 46.628525 6.117816e-09 317508_GRB080721 26997 0
34 5.130493e+01 4.664230e+00 17 2.824744e-01 -6.630417e-01 -2.007910e+00 2.951138e+01 sw00282003000b_bgd.pha 3938.75 7233.79 6589.68 6050.26 0.075701 3.641664e-09 373458_GRB091020 26997 0
35 4.970581e+01 3.324642e+00 23 3.699728e-01 -4.752007e-01 -2.392775e+00 6.132247e+00 sw00310613000b_bgd.pha 4440.88 8393.94 8362.26 9170.74 31.393231 1.515719e-10 228581_GRB060908 26997 0
36 5.199158e+01 8.401039e+00 13 1.701940e-01 -5.701087e-01 -2.089420e+00 3.919921e+01 sw00255445000b_bgd.pha 3874.14 7197.73 6713.9 6229.55 56.990242 5.385203e-09 255445_GRB070110 26997 0
37 5.147583e+01 5.391696e+00 14 2.503248e-01 -1.502878e+00 -1.964110e+00 3.183930e+01 sw00222683000b_bgd.pha 3862.75 7110.69 6417.42 5533.09 56.291844 3.188871e-09 359951_GRB090814A 26997 0
38 5.180237e+01 4.707561e+00 29 2.803299e-01 -5.514515e-01 -2.583648e+00 5.192759e+01 sw00505926000b_bgd.pha 5145.07 8492.27 6437.33 5398.93 50.662786 1.665266e-08 324561_GRB080913 26997 0
39 5.000732e+01 5.171381e+00 14 2.592612e-01 -7.800081e-01 -2.581118e+00 6.080570e+00 sw00156467000b_bgd.pha 4038.16 7385.42 6482.34 5256.99 56.291844 8.923335e-11 332851_GRB081028 26997 0
40 5.168213e+01 5.668158e+00 26 2.399463e-01 -5.541974e-01 -2.735305e+00 3.870109e+01 sw00240766000b_bgd.pha 3685.63 6828.48 6301.36 5690.66 46.628525 8.487011e-09 130088_GRB050525A 26997 0
41 5.214844e+01 5.752378e+00 29 2.369536e-01 -3.580980e-01 -1.930199e+00 6.537724e+01 sw00331093000b_bgd.pha 5292.67 9287.97 7783.66 6565.95 50.662786 1.493351e-08 316534_GRB080710 26997 0
42 5.197144e+01 7.754587e-01 03 9.011756e-01 -1.043803e+00 -1.978921e+00 2.028018e+02 sw00444643000b_bgd.pha 3996.46 7389.5 6811.13 6269.03 35.017749 8.112414e-07 131560_GRB050603 26997 1
