filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
26 5.081238e+01 5.867113e+00 21 2.329946e-01 -8.478592e-01 -2.105278e+00 1.380637e+01 sw00324895000b_bgd.pha 4713.66 8414.53 7149.5 5780.06 56.990242 6.443639e-10 153514_GRB050904 27147 0
27 5.072449e+01 7.080370e+00 13 1.980107e-01 -1.055648e+00 -2.009285e+00 1.060418e+01 sw00111063000b_bgd.pha 6471.95 10663.6 7972.45 6117.44 56.990242 3.106028e-10 282003_GRB070611 27147 0
28 5.145630e+01 6.017244e+00 01 2.280097e-01 -1.374913e+00 -2.277847e+00 2.835616e+01 sw00112453000b_bgd.pha 4517.97 8443.03 8068.6 8359.28 50.694 2.897543e-09 305288_GRB080310 27147 0
29 4.608093e+01 2.259685e+00 02 4.908449e-01 -9.743702e-01 -2.309850e+00 1.253012e-01 sw00238108000b_bgd.pha 4143.44 7804.58 7742.77 8660.19 40.675 4.919799e-14 332931_GRB081029 27147 0
30 5.171265e+01 9.401305e+00 13 1.538269e-01 -1.170765e+00 -2.644968e+00 2.569804e+01 sw00361830000b_bgd.pha 3657.54 6813.15 6550.46 6750.62 56.990242 2.179746e-09 306757_GRB080319B 27147 0
31 5.155884e+01 9.688142e+00 02 1.496986e-01 -1.126983e+00 -2.818807e+00 2.094987e+01 sw00457330000b_bgd.pha 4624.66 7359.54 5355.54 4594.27 40.675 1.361999e-09 323898_GRB080905B 27147 0
32 5.159546e+01 4.010609e+00 04 3.193225e-01 -6.079521e-01 -2.833889e+00 4.661263e+01 sw00334112000b_bgd.pha 4061.68 7607.25 7036.11 5969.42 40.675039 1.617090e-08 111529_GRB050318 27147 0
33 5.211426e+01 3.040247e+00 10 3.960154e-01 -4.665499e-01 -2.163804e+00 1.050475e+02 sw00277582000b_bgd.pha 4685.1 8305.44 7095.81 5956.51 19.267549 6.348532e-08 351588_GRB090510 27147 1
34 5.154358e+01 4.788119e+00 01 2.764283e-01 -5.307784e-01 -2.328553e+00 3.801165e+01 sw00278693000b_bgd.pha 3988 7317.7 6598.67 5863.52 50.694 7.783522e-09 111622_GRB050319 27147 0
35 5.125427e+01 4.782626e+00 31 2.766909e-01 -5.145967e-01 -2.646851e+00 2.726941e+01 sw00416076000b_bgd.pha 4981.83 9062.68 8013.87 6473.41 35.017749 4.318680e-09 221755_GRB060729 27147 0
36 5.103210e+01 3.334407e+00 18 3.691393e-01 -1.030318e+00 -3.024945e+00 2.817002e+01 sw00157870000b_bgd.pha 3850.32 7093.52 6431.26 5665.25 26.557574 5.791069e-09 147478_GRB050724 27147 0
37 5.065430e+01 5.574173e+00 22 2.433766e-01 -1.253585e+00 -2.087767e+00 1.202187e+01 sw00339852000b_bgd.pha 3497.97 6525.12 6117.81 6001.42 46.628525 4.484766e-10 282003_GRB070611 27147 0
38 5.105835e+01 1.566395e+00 09 6.234426e-01 -1.087316e+00 -2.166601e+00 4.903609e+01 sw00358422000b_bgd.pha 3635.07 6778.43 6508.58 6422.34 31.393231 2.952856e-08 349510_GRB090418A 27147 1
39 5.165283e+01 8.833735e+00 05 1.627052e-01 -7.367412e-01 -2.183949e+00 2.537243e+01 sw00301981000b_bgd.pha 3240.94 6022.59 5490.59 4748.26 50.662786 2.170514e-09 324895_GRB080916A 27147 0
40 5.121643e+01 5.777400e+00 10 2.360787e-01 -6.084799e-01 -2.336781e+00 2.227495e+01 sw00370791000b_bgd.pha 3962.38 7482.45 7081.65 5982.88 19.267549 2.167446e-09 346386_GRB090313 27147 0
41 5.093994e+01 4.321857e+00 23 3.006469e-01 -1.026342e+00 -1.904736e+00 2.063346e+01 sw00311159000b_bgd.pha 4353.6 8087.31 7544.77 6870.9 31.393231 1.554540e-09 151207_GRB050820A 27147 0
42 5.109314e+01 4.466496e+00 20 2.926921e-01 -6.132464e-01 -1.786979e+00 2.396213e+01 sw00231974000b_bgd.pha 3781.97 6956.96 6309.25 5578.62 56.291844 1.906664e-09 211117_GRB060522 27147 0
